Scenario #1:
17 267
17 272
17 283
17 296
17 301
17 312
17 317
17 327
17 347
17 356
17 381
17 413
17 414
17 432
17 442
17 461
17 492
17 500
17 515
17 518
17 520
17 536
17 537
17 548
17 570
17 584
17 606
17 615
17 642
17 664
17 670
17 718
17 747
17 825
17 834
17 835
17 859
17 870
17 894
17 904
18 31
18 36
18 54
18 76
18 116
18 126
18 133
18 171
18 200
18 218
18 256
18 321
18 331
18 395
18 402
18 419
18 424
18 460
18 509
18 523
18 541
18 578
18 598
18 614
18 631
18 639
18 648
18 663
18 669
18 675
18 676
18 697
18 698
18 702
18 710
18 712
18 722
18 739
18 745
18 756
18 761
18 774
18 780
18 788
18 797
18 802
18 860
18 861
18 867
18 891
19 6
19 47
19 50
19 51
19 55
19 77
19 80
19 91
19 94
19 95
19 106
19 113
19 123
19 136
19 149
19 169
19 181
19 185
19 219
19 238
19 315
19 341
19 358
19 404
19 409
19 426
19 437
19 446
19 464
19 478
19 507
19 575
19 589
19 611
19 617
19 630
19 641
19 678
19 679
19 691
19 705
19 713
19 752
19 767
19 791
19 799
19 804
19 836
19 839
19 857
19 858
19 866
19 876
19 892
20 18
20 71
20 82
20 99
20 100
20 156
20 158
20 201
20 228
20 230
20 250
20 254
20 255
20 260
20 284
20 295
20 305
20 369
20 371
20 396
20 397
20 423
20 496
20 498
20 499
20 508
20 512
20 524
20 528
20 534
20 554
20 560
20 605
20 612
20 618
20 624
20 666
20 673
20 683
20 720
20 725
20 732
20 759
20 783
20 785
20 795
20 816
20 822
20 837
20 847
20 854
20 864
20 878
20 889
21 23
21 48
21 85
21 150
21 151
21 190
21 192
21 197
21 207
21 216
21 223
21 263
21 268
21 290
21 293
21 318
21 352
21 361
21 386
21 391
21 405
21 465
21 490
21 504
21 519
21 594
21 654
21 659
21 660
21 680
21 711
21 784
21 790
21 806
21 811
21 821
21 823
21 850
21 869
21 875
21 884
22 12
22 24
22 64
22 67
22 69
22 70
22 199
22 204
22 208
22 210
22 233
22 273
22 278
22 288
22 289
22 300
22 303
22 309
22 322
22 335
22 337
22 342
22 376
22 416
22 438
22 501
22 510
22 535
22 567
22 569
22 629
22 632
22 730
22 735
22 757
22 801
22 812
22 819
22 852
22 856
22 880
22 903
23 0
23 35
23 37
23 41
23 65
23 87
23 101
23 110
23 117
23 125
23 130
23 131
23 144
23 147
23 165
23 180
23 184
23 189
23 195
23 275
23 281
23 307
23 375
23 384
23 428
23 452
23 458
23 473
23 506
23 526
23 561
23 580
23 586
23 593
23 609
23 638
23 682
23 690
23 695
23 699
23 700
23 729
23 760
23 766
23 773
23 829
23 833
23 838
23 842
23 865
23 908
24 8
24 33
24 45
24 155
24 162
24 175
24 209
24 220
24 240
24 248
24 280
24 314
24 365
24 433
24 441
24 444
24 454
24 468
24 479
24 516
24 542
24 546
24 564
24 581
24 585
24 628
24 645
24 762
24 763
24 769
24 792
24 826
24 872
24 902
25 5
25 9
25 22
25 115
25 119
25 271
25 579
25 620
25 647
25 658
25 755
25 789
25 798
25 830
25 831
25 843
25 845
25 851
25 885
26 63
26 83
26 122
26 138
26 172
26 411
26 477
26 547
26 549
26 665
26 714
26 754
26 814
27 49
27 79
27 168
27 297
27 390
Scenario #200:
1 105
1 341
1 360
1 605
1 710
1 793
1 800
1 883
1 888
2 83
2 163
2 178
2 231
2 257
2 280
2 362
2 369
2 370
2 401
2 404
2 491
2 579
2 611
2 678
2 703
2 707
2 770
2 776
2 804
2 826
2 874
2 893
2 924
3 45
3 125
3 241
3 365
3 387
3 489
3 523
3 529
3 532
3 634
3 743
3 755
3 789
3 830
3 936
3 938
3 962
4 13
4 101
4 121
4 160
4 207
4 282
4 333
4 343
4 359
4 371
4 477
4 609
4 633
4 713
4 733
4 831
4 866
4 873
4 897
5 20
5 41
5 42
5 65
5 81
5 162
5 251
5 279
5 311
5 348
5 444
5 454
5 510
5 512
5 534
5 542
5 689
5 699
5 728
5 740
5 780
5 814
5 878
5 903
6 19
6 88
6 94
6 149
6 171
6 198
6 210
6 223
6 227
6 245
6 246
6 249
6 277
6 312
6 388
6 394
6 417
6 434
6 458
6 502
6 521
6 551
6 560
6 569
6 630
6 677
6 727
6 736
6 796
6 847
6 854
6 862
6 863
7 16
7 72
7 116
7 137
7 175
7 192
7 200
7 208
7 209
7 213
7 219
7 221
7 408
7 479
7 504
7 507
7 509
7 554
7 587
7 593
7 613
7 650
7 672
7 676
7 688
7 690
7 721
7 747
7 801
7 809
7 812
7 829
7 880
7 891
7 906
7 908
7 973
8 9
8 56
8 86
8 119
8 130
8 144
8 204
8 272
8 326
8 424
8 430
8 459
8 493
8 499
8 537
8 552
8 614
8 645
8 654
8 661
8 666
8 716
8 738
8 739
8 788
8 820
8 876
8 890
8 931
9 7
9 29
9 30
9 31
9 58
9 63
9 147
9 174
9 217
9 267
9 314
9 425
9 446
9 460
9 505
9 514
9 541
9 568
9 617
9 622
9 627
9 822
9 839
9 844
9 846
9 902
9 913
9 917
9 922
9 971
10 6
10 38
10 61
10 90
10 148
10 228
10 260
10 261
10 274
10 340
10 376
10 392
10 419
10 442
10 453
10 503
10 536
10 545
10 562
10 572
10 588
10 592
10 608
10 641
10 646
10 655
10 658
10 664
10 769
10 781
10 782
10 783
10 815
10 907
10 918
10 947
10 955
11 5
11 8
11 12
11 32
11 113
11 123
11 134
11 167
11 211
11 236
11 258
11 304
11 323
11 325
11 373
11 413
11 437
11 465
11 469
11 483
11 500
11 525
11 553
11 555
11 561
11 652
11 686
11 750
11 774
11 787
11 810
11 825
11 848
11 915
12 23
12 25
12 91
12 92
12 97
12 157
12 193
12 226
12 238
12 278
12 322
12 336
12 349
12 384
12 396
12 402
12 432
12 440
12 443
12 487
12 570
12 573
12 594
12 638
12 644
12 648
12 653
12 701
12 709
12 765
12 768
12 837
12 882
12 914
12 975
12 979
12 985
13 44
13 57
13 71
13 84
13 85
13 114
13 184
13 218
13 255
13 313
13 361
13 372
13 438
13 511
13 585
13 598
13 623
13 631
13 639
13 656
13 674
13 695
13 705
13 706
13 729
13 745
13 748
13 767
13 802
13 851
13 859
13 877
13 928
13 942
14 51
14 52
14 73
14 132
14 139
14 230
14 242
14 256
14 382
14 393
14 410
14 473
14 475
14 485
14 490
14 492
14 556
14 616
14 625
14 632
14 668
14 670
14 682
14 757
14 806
14 811
14 816
14 868
14 870
14 898
14 900
14 920
14 933
14 969
14 984
15 98
15 143
15 156
15 243
15 268
15 297
15 298
15 302
15 331
15 337
15 351
15 357
15 364
15 381
15 391
15 414
15 423
15 463
15 496
15 642
15 732
15 790
15 884
15 886
15 901
15 932
15 945
15 958
16 11
16 53
16 60
16 68
16 109
16 110
16 140
16 146
16 270
16 299
16 328
16 346
16 354
16 358
16 366
16 368
16 421
16 426
16 431
16 436
16 482
16 508
16 546
16 557
16 601
16 602
16 647
16 665
16 675
16 779
16 823
16 842
16 858
16 865
16 885
16 895
16 899
16 951
16 961
16 968
17 17
17 33
17 34
17 36
17 46
17 89
17 95
17 103
17 129
17 150
17 159
17 196
17 214
17 286
17 288
17 318
17 324
17 374
17 375
17 441
17 447
17 450
17 452
17 468
17 506
17 517
17 519
17 527
17 543
17 563
17 565
17 643
17 651
17 698
17 718
17 719
17 761
17 775
17 794
17 853
17 887
17 894
17 912
17 919
17 965
17 966
17 970
17 981
18 27
18 35
18 47
18 66
18 67
18 70
18 82
18 102
18 127
18 138
18 151
18 168
18 194
18 232
18 235
18 239
18 250
18 273
18 275
18 317
18 320
18 347
18 356
18 395
18 397
18 407
18 416
18 462
18 466
18 530
18 550
18 566
18 574
18 580
18 618
18 628
18 660
18 685
18 693
18 697
18 704
18 711
18 742
18 749
18 753
18 766
18 785
18 786
18 791
18 798
18 799
18 808
18 835
18 869
18 904
18 911
18 941
18 950
18 957
18 959
18 978
19 22
19 24
19 26
19 39
19 40
19 64
19 131
19 155
19 165
19 173
19 179
19 189
19 195
19 197
19 229
19 234
19 237
19 247
19 248
19 253
19 284
19 292
19 309
19 316
19 327
19 329
19 332
19 398
19 405
19 406
19 455
19 461
19 471
19 472
19 476
19 497
19 518
19 524
19 548
19 564
19 596
19 640
19 680
19 684
19 696
19 720
19 723
19 734
19 763
19 771
19 777
19 792
19 797
19 821
19 828
19 841
19 856
19 857
19 860
19 889
19 905
19 929
19 943
19 946
19 948
19 980
20 0
20 1
20 3
20 10
20 37
20 48
20 50
20 54
20 87
20 100
20 117
20 122
20 153
20 164
20 169
20 191
20 225
20 252
20 259
20 269
20 281
20 283
20 289
20 293
20 339
20 344
20 345
20 352
20 377
20 385
20 399
20 428
20 445
20 467
20 484
20 495
20 501
20 528
20 533
20 538
20 578
20 581
20 597
20 599
20 621
20 626
20 629
20 669
20 712
20 724
20 730
20 737
20 744
20 759
20 760
20 762
20 813
20 819
20 840
20 852
20 896
20 926
20 934
20 940
20 963
20 967
20 977
20 982
20 987
21 69
21 79
21 80
21 99
21 106
21 118
21 158
21 182
21 183
21 186
21 188
21 199
21 202
21 203
21 215
21 220
21 222
21 263
21 287
21 294
21 296
21 303
21 319
21 330
21 342
21 383
21 390
21 400
21 411
21 412
21 433
21 439
21 480
21 498
21 516
21 522
21 544
21 549
21 559
21 583
21 584
21 595
21 606
21 607
21 619
21 620
21 636
21 649
21 657
21 662
21 671
21 683
21 692
21 708
21 715
21 764
21 784
21 807
21 827
21 834
21 845
21 850
21 861
21 864
21 867
21 879
21 881
21 954
21 956
21 960
21 986
22 21
22 28
22 43
22 49
22 74
22 77
22 104
22 111
22 115
22 120
22 128
22 136
22 141
22 142
22 154
22 170
22 181
22 201
22 262
22 265
22 266
22 290
22 315
22 321
22 334
22 367
22 418
22 451
22 457
22 494
22 513
22 520
22 531
22 539
22 540
22 571
22 575
22 582
22 590
22 591
22 610
22 612
22 637
22 673
22 679
22 687
22 691
22 717
22 725
22 726
22 741
22 754
22 772
22 778
22 795
22 803
22 817
22 855
22 892
22 923
22 927
22 937
22 939
22 949
22 952
22 953
22 972
22 976
23 15
23 59
23 62
23 93
23 96
23 112
23 124
23 133
23 185
23 205
23 212
23 216
23 224
23 233
23 264
23 285
23 305
23 307
23 335
23 338
23 353
23 355
23 378
23 379
23 435
23 448
23 470
23 478
23 488
23 515
23 526
23 547
23 577
23 589
23 603
23 624
23 635
23 667
23 714
23 722
23 731
23 752
23 758
23 805
23 824
23 832
23 849
23 871
23 872
23 875
23 944
23 983
24 2
24 4
24 18
24 55
24 75
24 78
24 108
24 135
24 145
24 152
24 161
24 176
24 177
24 180
24 206
24 295
24 300
24 306
24 350
24 389
24 422
24 427
24 429
24 449
24 456
24 464
24 474
24 535
24 567
24 600
24 663
24 746
24 773
24 836
24 843
24 925
24 930
24 935
24 974
25 76
25 107
25 166
25 172
25 187
25 240
25 244
25 271
25 276
25 308
25 363
25 386
25 409
25 415
25 558
25 604
25 659
25 700
25 702
25 751
25 756
25 818
25 833
25 838
25 909
25 921
26 126
26 190
26 291
26 301
26 380
26 403
26 481
26 486
26 576
26 586
26 916
27 254
27 420
27 694
27 735
27 910
27 964
28 615
28 681
29 14
29 310
Scenario #201:
1 34
1 62
1 111
2 2
2 108
3 17
3 18
3 24
4 83
4 129
4 133
5 3
5 7
5 47
5 95
6 53
6 98
6 135
7 4
7 20
7 33
7 48
7 58
8 1
8 32
8 42
8 44
8 94
9 25
9 41
9 56
9 100
9 113
10 37
10 60
10 88
10 106
10 125
11 16
11 79
11 105
11 114
12 30
12 45
12 77
12 91
12 97
13 67
13 69
13 84
13 96
13 101
13 107
13 117
13 122
14 0
14 23
14 29
14 31
14 39
14 49
14 103
14 128
14 136
15 10
15 11
15 22
15 35
15 40
15 50
15 51
15 61
15 72
15 99
15 138
16 9
16 21
16 28
16 55
16 57
16 70
16 75
16 78
16 80
16 93
17 6
17 36
17 52
17 54
17 59
17 71
17 86
17 87
17 119
17 120
17 124
17 130
17 131
18 5
18 38
18 43
18 65
18 68
18 104
18 116
18 123
18 126
19 8
19 12
19 64
19 85
19 90
19 112
19 115
19 121
19 134
20 14
20 15
20 66
20 76
20 81
20 89
20 110
20 127
20 132
21 19
21 46
21 73
21 82
21 102
21 109
21 118
21 137
22 13
22 26
22 27
22 63
22 74
23 92
Scenario #202:
1 115
1 236
2 11
2 123
2 143
2 151
3 82
3 129
3 265
3 266
4 42
4 106
4 110
4 114
4 252
5 26
5 64
5 71
5 171
5 201
5 228
5 259
6 43
6 56
6 61
6 108
6 179
6 214
7 8
7 47
7 88
7 163
7 195
7 229
7 262
8 18
8 65
8 86
8 97
8 124
8 199
9 0
9 62
9 96
9 125
9 154
9 164
9 264
9 278
10 9
10 104
10 137
10 149
10 152
10 256
10 273
11 19
11 20
11 33
11 67
11 72
11 102
11 174
11 180
11 202
11 234
11 271
11 282
12 5
12 22
12 52
12 54
12 131
12 133
12 217
12 225
12 226
12 251
12 275
12 280
13 15
13 17
13 48
13 50
13 112
13 132
13 155
13 156
13 161
13 274
13 283
14 32
14 84
14 116
14 175
14 186
14 194
14 197
14 211
14 220
14 232
14 238
14 289
15 13
15 25
15 44
15 69
15 119
15 130
15 177
15 241
15 248
15 258
15 260
15 269
15 284
15 288
16 1
16 28
16 45
16 53
16 75
16 134
16 147
16 159
16 172
16 178
16 193
16 210
16 221
16 237
16 240
16 243
16 249
16 250
16 276
17 2
17 6
17 12
17 74
17 90
17 94
17 117
17 120
17 122
17 128
17 140
17 144
17 184
17 227
17 267
17 290
17 291
18 16
18 58
18 70
18 77
18 78
18 92
18 93
18 136
18 158
18 176
18 206
18 212
18 254
18 268
18 270
19 4
19 36
19 66
19 98
19 105
19 111
19 121
19 139
19 150
19 167
19 173
19 196
19 198
19 208
19 215
19 223
19 233
19 247
19 257
19 261
19 272
20 3
20 7
20 10
20 29
20 49
20 55
20 59
20 91
20 126
20 138
20 141
20 148
20 157
20 181
20 189
20 191
20 200
20 205
20 209
20 222
20 253
20 277
20 286
20 287
21 30
21 35
21 41
21 46
21 51
21 57
21 68
21 95
21 118
21 160
21 166
21 182
21 183
21 190
21 203
21 207
21 213
21 231
21 235
21 242
21 255
21 263
22 23
22 40
22 76
22 99
22 142
22 145
22 146
22 170
22 188
22 216
22 239
22 244
22 285
23 27
23 31
23 37
23 39
23 83
23 87
23 113
23 127
23 135
23 162
23 168
23 187
23 224
23 281
24 24
24 63
24 89
24 100
24 103
24 153
24 165
24 169
24 185
24 192
24 230
24 292
24 293
25 21
25 34
25 38
25 73
25 79
25 85
25 101
25 204
25 218
25 245
25 246
26 60
26 109
26 219
27 80
27 81
27 107
27 279
28 14
Scenario #203:
1 16
1 236
1 253
2 82
2 127
2 179
2 217
2 266
2 267
3 55
3 61
3 110
3 131
3 264
4 47
4 70
4 254
5 18
5 140
5 147
5 268
6 26
6 64
6 94
6 190
6 196
6 200
7 25
7 56
7 128
7 180
7 186
7 242
8 17
8 20
8 134
8 154
8 237
9 12
9 37
9 51
9 158
9 163
9 177
9 213
9 235
10 22
10 28
10 40
10 62
10 104
10 106
10 109
10 115
10 161
11 67
11 71
11 138
11 172
11 230
11 243
11 271
12 19
12 58
12 91
12 155
12 191
12 250
13 32
13 97
13 144
13 199
13 222
14 15
14 30
14 52
14 105
14 141
14 175
14 193
15 1
15 79
15 204
15 215
15 244
16 107
16 153
16 205
16 211
16 240
16 246
16 265
17 4
17 31
17 86
17 116
17 136
17 171
17 187
17 219
17 227
17 229
17 247
17 260
18 9
18 24
18 27
18 35
18 44
18 78
18 83
18 95
18 102
18 103
18 118
18 125
18 129
18 132
18 151
18 162
18 169
18 201
18 207
19 8
19 66
19 69
19 99
19 100
19 122
19 124
19 130
19 183
19 209
19 216
19 226
19 228
19 241
19 269
20 0
20 59
20 60
20 63
20 74
20 90
20 92
20 114
20 119
20 143
20 148
20 164
20 174
20 238
20 256
20 261
21 3
21 6
21 7
21 21
21 23
21 29
21 34
21 38
21 41
21 42
21 65
21 76
21 85
21 87
21 89
21 121
21 137
21 167
21 182
21 197
21 223
21 252
22 50
22 53
22 68
22 72
22 75
22 101
22 112
22 133
22 142
22 150
22 152
22 168
22 194
22 195
22 214
22 231
22 245
22 257
23 39
23 45
23 46
23 81
23 126
23 146
23 159
23 166
23 181
23 208
23 239
23 248
23 249
23 259
24 5
24 48
24 49
24 54
24 57
24 77
24 108
24 111
24 113
24 117
24 123
24 145
24 149
24 176
24 184
24 188
24 210
24 212
24 234
25 13
25 33
25 88
25 93
25 98
25 120
25 139
25 156
25 157
25 178
25 198
25 202
25 232
25 251
25 255
25 262
26 36
26 43
26 96
26 160
26 165
26 170
26 189
26 206
26 218
26 220
26 270
27 2
27 11
27 14
27 73
27 135
27 185
27 192
27 203
27 225
27 233
27 258
28 173
28 221
28 224
28 263
29 10
29 80
29 84
Scenario #204:
1 277
1 381
2 72
2 142
2 215
2 413
2 459
2 472
2 479
3 2
3 32
3 60
3 111
3 213
3 282
3 341
3 358
3 425
3 499
4 48
4 76
4 85
4 180
4 189
4 276
4 284
4 353
4 411
4 434
4 439
5 15
5 87
5 154
5 226
5 245
5 273
5 291
6 41
6 57
6 182
6 231
6 270
6 336
6 404
6 454
7 16
7 92
7 157
7 295
7 321
7 377
7 474
7 492
8 225
8 242
8 262
8 370
8 410
8 431
8 469
9 11
9 37
9 125
9 170
9 238
9 251
9 312
10 52
10 164
10 190
10 239
10 395
10 398
10 403
10 466
10 495
10 500
11 100
11 122
11 156
11 207
11 258
11 315
11 325
11 334
11 436
11 441
12 33
12 46
12 107
12 140
12 169
12 260
12 335
12 340
12 406
13 43
13 47
13 101
13 200
13 364
13 368
13 408
13 424
13 447
13 493
14 0
14 34
14 40
14 66
14 116
14 221
14 224
14 257
14 378
14 390
14 421
14 478
15 18
15 20
15 30
15 106
15 165
15 175
15 179
15 186
15 188
15 211
15 296
15 297
15 298
15 327
15 330
15 357
15 367
15 379
15 405
15 414
15 448
15 453
16 27
16 29
16 69
16 177
16 197
16 218
16 256
16 299
16 302
16 309
16 319
16 329
16 345
16 351
16 369
16 386
16 407
16 416
16 417
16 428
16 488
16 501
16 502
17 17
17 45
17 49
17 56
17 84
17 104
17 124
17 128
17 145
17 153
17 161
17 205
17 233
17 246
17 252
17 255
17 283
17 311
17 313
17 360
17 394
17 418
17 426
17 491
17 494
18 10
18 21
18 24
18 42
18 65
18 105
18 139
18 155
18 178
18 265
18 288
18 293
18 342
18 344
18 365
18 372
18 373
18 443
18 444
18 449
18 457
19 23
19 61
19 73
19 95
19 109
19 126
19 129
19 130
19 158
19 159
19 163
19 191
19 198
19 208
19 217
19 249
19 375
19 420
19 427
19 490
20 5
20 26
20 35
20 62
20 70
20 90
20 110
20 112
20 119
20 147
20 149
20 168
20 171
20 181
20 266
20 275
20 280
20 294
20 317
20 320
20 374
20 376
20 380
20 412
20 422
20 450
20 464
20 481
21 7
21 8
21 38
21 53
21 54
21 79
21 82
21 88
21 134
21 141
21 173
21 184
21 196
21 201
21 203
21 237
21 240
21 259
21 272
21 306
21 314
21 323
21 324
21 328
21 337
21 349
21 371
21 383
21 385
21 387
21 409
21 419
21 429
21 440
21 446
21 458
21 462
22 6
22 12
22 14
22 50
22 67
22 93
22 99
22 132
22 138
22 148
22 160
22 167
22 199
22 212
22 228
22 235
22 243
22 269
22 279
22 287
22 289
22 316
22 326
22 331
22 339
22 343
22 346
22 348
22 354
22 355
22 363
22 384
22 392
22 430
22 432
22 438
22 460
22 467
22 483
22 485
23 4
23 13
23 36
23 39
23 44
23 51
23 64
23 75
23 96
23 98
23 117
23 131
23 135
23 136
23 150
23 172
23 187
23 214
23 216
23 227
23 232
23 234
23 248
23 254
23 301
23 303
23 308
23 333
23 356
23 361
23 391
23 433
23 461
23 475
23 476
23 497
24 3
24 19
24 25
24 28
24 31
24 71
24 86
24 103
24 108
24 113
24 123
24 162
24 166
24 174
24 195
24 204
24 210
24 223
24 230
24 274
24 310
24 338
24 352
24 359
24 362
24 396
24 397
24 415
24 452
24 463
24 470
25 1
25 59
25 68
25 81
25 102
25 114
25 118
25 120
25 121
25 143
25 146
25 183
25 185
25 193
25 220
25 222
25 236
25 241
25 253
25 281
25 290
25 305
25 318
25 366
25 389
25 401
25 455
25 473
25 503
26 55
26 58
26 63
26 74
26 78
26 80
26 83
26 89
26 91
26 94
26 127
26 144
26 194
26 202
26 219
26 261
26 263
26 271
26 304
26 332
26 350
26 393
26 399
26 456
26 468
26 477
26 487
26 496
26 498
27 22
27 133
27 137
27 151
27 206
27 229
27 247
27 264
27 292
27 300
27 322
27 435
27 437
27 445
27 471
27 480
27 486
27 489
28 9
28 97
28 152
28 176
28 209
28 250
28 267
28 278
28 382
28 423
29 244
29 285
29 388
29 400
29 402
29 451
30 268
30 347
30 442
30 465
30 482
31 77
31 115
32 286
32 484
33 192
33 307
Scenario #205:
1 65
1 126
1 201
1 299
1 335
1 450
1 512
1 530
1 728
1 785
2 68
2 106
2 166
2 220
2 296
2 329
2 363
2 411
2 455
2 495
2 566
2 574
2 605
2 665
2 729
2 761
2 770
3 33
3 62
3 186
3 379
3 466
3 592
3 699
4 7
4 72
4 116
4 129
4 278
4 332
4 369
4 374
4 378
4 390
4 432
4 513
4 562
4 741
5 12
5 14
5 178
5 179
5 226
5 233
5 255
5 259
5 290
5 540
5 673
5 680
5 731
5 737
5 748
6 17
6 125
6 170
6 203
6 204
6 286
6 315
6 325
6 330
6 367
6 376
6 453
6 596
6 667
6 758
6 787
7 25
7 104
7 218
7 219
7 229
7 244
7 284
7 292
7 350
7 404
7 430
7 461
7 553
7 626
7 708
7 710
8 27
8 49
8 177
8 239
8 256
8 479
8 628
8 648
8 675
8 707
8 725
8 768
8 775
9 57
9 83
9 108
9 136
9 147
9 153
9 173
9 308
9 345
9 360
9 370
9 410
9 510
9 514
9 518
9 551
10 6
10 29
10 88
10 192
10 194
10 199
10 202
10 240
10 248
10 270
10 304
10 391
10 409
10 426
10 459
10 476
10 534
10 586
10 687
10 704
11 1
11 48
11 75
11 86
11 90
11 154
11 165
11 200
11 210
11 257
11 322
11 358
11 415
11 423
11 487
11 523
11 528
11 594
11 603
11 696
11 697
11 738
11 772
12 13
12 22
12 30
12 45
12 99
12 102
12 114
12 132
12 134
12 152
12 162
12 183
12 333
12 334
12 344
12 357
12 366
12 394
12 452
12 462
12 491
12 509
12 516
12 526
12 541
12 542
12 589
12 642
12 689
12 690
12 730
12 745
13 19
13 37
13 50
13 82
13 141
13 198
13 206
13 216
13 238
13 246
13 254
13 262
13 276
13 281
13 285
13 343
13 375
13 407
13 424
13 429
13 437
13 443
13 538
13 561
13 563
13 620
13 639
13 645
13 660
13 712
13 723
13 740
13 779
14 20
14 56
14 84
14 123
14 139
14 193
14 209
14 236
14 280
14 297
14 303
14 327
14 460
14 506
14 550
14 560
14 615
14 649
14 653
14 657
14 668
14 732
14 735
14 749
14 780
14 788
15 35
15 38
15 145
15 150
15 155
15 161
15 175
15 182
15 223
15 245
15 313
15 371
15 449
15 470
15 498
15 559
15 575
15 584
15 600
15 652
15 684
15 784
16 39
16 59
16 76
16 91
16 103
16 113
16 127
16 135
16 258
16 271
16 336
16 373
16 402
16 456
16 480
16 519
16 590
16 597
16 601
16 610
16 714
16 776
17 26
17 36
17 63
17 95
17 144
17 169
17 235
17 251
17 274
17 277
17 396
17 400
17 442
17 469
17 524
17 606
17 619
17 625
17 630
17 647
17 655
17 662
17 685
17 764
17 786
18 54
18 69
18 85
18 92
18 131
18 149
18 211
18 217
18 241
18 243
18 266
18 307
18 312
18 342
18 348
18 359
18 365
18 397
18 403
18 458
18 475
18 501
18 537
18 543
18 549
18 607
18 612
18 629
18 638
18 659
18 669
18 702
18 703
18 739
18 751
18 771
18 774
18 781
19 18
19 23
19 40
19 41
19 71
19 74
19 157
19 212
19 222
19 224
19 250
19 260
19 264
19 269
19 306
19 317
19 337
19 352
19 354
19 364
19 405
19 413
19 431
19 435
19 444
19 448
19 451
19 454
19 457
19 463
19 465
19 473
19 482
19 490
19 503
19 517
19 533
19 547
19 554
19 587
19 611
19 613
19 632
19 713
19 734
19 760
19 769
19 778
19 783
20 28
20 44
20 70
20 89
20 100
20 109
20 119
20 124
20 146
20 158
20 159
20 184
20 185
20 195
20 225
20 227
20 228
20 261
20 275
20 279
20 328
20 377
20 381
20 386
20 408
20 412
20 425
20 445
20 468
20 471
20 481
20 483
20 488
20 504
20 505
20 515
20 522
20 557
20 569
20 579
20 581
20 582
20 631
20 636
20 736
20 743
20 750
20 752
20 777
21 4
21 42
21 73
21 77
21 111
21 115
21 118
21 122
21 151
21 160
21 163
21 234
21 282
21 320
21 356
21 372
21 398
21 401
21 420
21 427
21 439
21 441
21 447
21 492
21 521
21 546
21 572
21 578
21 595
21 641
21 643
21 674
21 676
21 677
21 693
21 695
21 722
21 765
22 51
22 79
22 87
22 93
22 105
22 138
22 140
22 176
22 197
22 242
22 252
22 283
22 302
22 341
22 388
22 493
22 508
22 531
22 570
22 576
22 583
22 614
22 622
22 644
22 661
22 672
22 691
22 709
22 720
22 747
22 762
23 11
23 168
23 172
23 294
23 301
23 319
23 395
23 406
23 499
23 511
23 520
23 552
23 568
23 617
23 624
23 664
23 688
24 9
24 80
24 81
24 98
24 137
24 180
24 231
24 340
24 467
24 598
24 608
24 609
24 637
24 670
24 679
24 700
24 705
24 717
25 0
25 8
25 21
25 31
25 43
25 58
25 107
25 221
25 287
25 305
25 318
25 361
25 380
25 385
25 434
25 440
25 446
25 472
25 496
25 525
25 548
25 618
25 666
25 694
25 716
25 746
25 789
26 52
26 60
26 78
26 181
26 263
26 265
26 291
26 300
26 324
26 351
26 399
26 428
26 436
26 500
26 535
26 545
26 555
26 599
26 656
26 658
26 671
26 681
26 711
26 744
26 753
26 759
26 766
26 782
26 790
27 16
27 46
27 47
27 66
27 96
27 143
27 164
27 174
27 205
27 249
27 293
27 295
27 338
27 346
27 368
27 384
27 393
27 419
27 438
27 464
27 489
27 527
27 539
27 558
27 564
27 580
27 591
27 602
27 640
27 651
27 754
27 755
27 773
28 10
28 55
28 97
28 117
28 133
28 142
28 148
28 156
28 187
28 190
28 196
28 273
28 331
28 362
28 389
28 422
28 474
28 484
28 502
28 536
28 650
28 654
28 678
28 682
28 683
28 692
28 698
28 701
28 715
28 726
28 756
28 757
29 5
29 32
29 67
29 110
29 112
29 128
29 171
29 188
29 191
29 207
29 213
29 215
29 237
29 247
29 253
29 272
29 289
29 298
29 321
29 355
29 414
29 416
29 418
29 421
29 486
29 497
29 532
29 544
29 556
29 565
29 573
29 585
29 588
29 633
29 686
29 706
29 718
29 724
29 733
30 3
30 53
30 61
30 120
30 121
30 130
30 189
30 214
30 230
30 232
30 310
30 311
30 339
30 347
30 353
30 382
30 383
30 392
30 433
30 529
30 616
30 621
30 634
30 635
30 719
30 721
30 727
30 742
30 763
31 94
31 101
31 167
31 208
31 267
31 268
31 309
31 349
31 477
31 567
31 571
31 604
31 623
31 627
32 15
32 34
32 64
32 314
32 316
32 326
32 387
32 417
32 485
32 494
32 507
32 593
32 646
32 663
32 767
33 2
33 288
33 323
33 478
33 577
34 24
Scenario #206:
1 497
1 661
1 688
1 867
1 971
1 982
2 9
2 95
2 122
2 217
2 287
2 362
2 575
2 615
2 687
2 690
2 723
2 842
2 881
2 888
2 934
3 19
3 49
3 85
3 130
3 166
3 168
3 210
3 212
3 251
3 277
3 289
3 307
3 329
3 370
3 529
3 595
3 795
3 806
3 820
3 832
3 849
3 851
3 876
4 25
4 70
4 86
4 155
4 157
4 190
4 328
4 389
4 429
4 440
4 459
4 463
4 590
4 608
4 699
4 730
4 751
4 863
4 913
4 927
4 930
4 932
4 984
5 7
5 64
5 94
5 105
5 116
5 117
5 176
5 192
5 199
5 200
5 209
5 215
5 219
5 342
5 377
5 385
5 457
5 574
5 586
5 604
5 607
5 672
5 676
5 784
5 810
5 813
